Site,Time,Phrase,Count
http://www.cnn.com/,2017-3-27 15:38:17,Notre,0
http://www.cnn.com/,2017-3-27 15:38:17,Cub Scouts,0
http://www.cnn.com/,2017-3-27 15:38:17,CSE30341,0
http://www.cnn.com/,2017-3-27 15:38:17,Operating,0
http://www.cnn.com/,2017-3-27 15:38:17,Systems,0
http://www.cnn.com/,2017-3-27 15:38:17,Striegel,0
http://www.cnn.com/,2017-3-27 15:38:17,Thain,0
http://www.cnn.com/,2017-3-27 15:38:17,the,122
http://www.nd.edu/,2017-3-27 15:38:18,Notre,110
http://www.nd.edu/,2017-3-27 15:38:18,Cub Scouts,0
http://www.nd.edu/,2017-3-27 15:38:18,CSE30341,0
http://www.nd.edu/,2017-3-27 15:38:18,Operating,0
http://www.nd.edu/,2017-3-27 15:38:18,Systems,0
http://www.nd.edu/,2017-3-27 15:38:18,Striegel,0
http://www.nd.edu/,2017-3-27 15:38:18,Thain,0
http://www.nd.edu/,2017-3-27 15:38:18,the,156
